logFC	AveExpr	t	P.Value	adj.P.Val	B
Duox1	-1.14084456351008	3.1110670224404	-4.94028218224255	7.80005989392492e-05	0.00663759935489482	1.65512588850388
Rin1	1.23731835405134	4.91996053671738	4.990812842889	6.94201878947187e-05	0.00617101954212089	1.64923827183883
4931406P16Rik	0.81112233456076	7.13196211282965	5.017085807867	6.53438493501789e-05	0.00602880229549436	1.64518694312621
Apbb2	0.874536221039833	6.18474909721405	4.99592940178762	6.86065817805498e-05	0.00613505636396917	1.63784133493614
Cldn11	-3.34445993944124	-0.517184360555565	-5.37757872834715	2.86567041533001e-05	0.00343619934347299	1.6347719746106
Actn1	1.5174946152194	7.81704782128122	5.01353879738725	6.58796713257404e-05	0.00602880229549436	1.63232934914884
Usp54	-1.04210818706478	5.30040234957662	-4.91970010427015	8.17970051395601e-05	0.00685017458914793	1.6293320366462
Brca1	-1.62605328433717	7.58616938787959	-4.97917555245225	7.13073399073842e-05	0.00623564959145899	1.61961481912481
Emp2	1.26644258881782	4.15118913956254	4.92997226766963	7.98794154729952e-05	0.00672516695801366	1.59201639988645
4931429I11Rik	1.46359224499089	-1.28251084911558	4.90640446749145	8.43485024893774e-05	0.00695347967396805	1.58801237061805
Eva1b	1.54849857292869	4.55036649683505	4.95348624312224	7.56596550456157e-05	0.00650837510903264	1.5871972025172
Asap1	1.0747263389507	6.2017812278912	4.97620889388542	7.17966985786793e-05	0.00624394585221613	1.56528472893222
St3gal1	1.87916973721083	3.44040360296911	4.91397459584532	8.28860246308041e-05	0.00686869108825323	1.54775980785096
Gm16897	3.7087685073219	0.384925907579044	4.88978676972115	8.76513049547904e-05	0.00715126213827022	1.53303635008262
Akr1b8	2.55697095643524	2.46160346679188	4.88267069853882	8.91054405117374e-05	0.00719727157818491	1.52971052451529
Gda	3.4544200382052	-0.277376980565231	4.94700764978293	7.67992034974524e-05	0.0065706907727442	1.51514644096806
Kif26b	3.93579221010647	2.84368638153577	4.85239000595605	9.55716426220122e-05	0.00741523509520201	1.47676253549678
Fgd3	3.41734717617668	1.19357639081085	4.86218337669898	9.34299235072042e-05	0.00733348036019663	1.47642505920018
Fam43a	1.34432347385602	5.20287689732193	4.93219539229609	7.9470442797786e-05	0.00672516695801366	1.47152980647414
Pbxip1	1.49778388924	5.409345224909	4.91577373759582	8.25422444482821e-05	0.00686869108825323	1.47007209516028
Cyp2j6	1.6031609040752	3.1959923513601	4.87329136930576	9.10594842166693e-05	0.00724266088533388	1.44108738067152
Klk8	2.60604759914605	2.60588792889382	4.8187722823454	0.000103309245614765	0.00786143624803125	1.41768697912979
Lrp10	1.0034037161889	5.88861914713528	4.8825774006201	8.9124667003048e-05	0.00719727157818491	1.39179611073987
Atad5	-1.33838225547652	6.42747908077676	-4.83295996360431	9.99691998465757e-05	0.00764402171580483	1.37708831191842
Arhgap19	-1.72594393600316	6.26687424431815	-4.80471037429733	0.000106731208681539	0.00800635815645214	1.3748818652168
Ggta1	0.991260354072685	6.17189683215309	4.87883244637856	8.98998945843476e-05	0.00720164143069957	1.36204840620197
Pde3b	-1.34644897847006	5.3353729385416	-4.79122214456989	0.000110121378473372	0.0080694499003543	1.34383432553836
Mgat1	1.08344925651906	5.62634955209348	4.86143759009914	9.35912959792595e-05	0.00733348036019663	1.34291274395527
Siglecg	5.86075357182643	-0.68015927859717	5.01233112966102	6.60631212700344e-05	0.00602880229549436	1.33539592954248
Dynlrb1	0.976312720133731	5.77303581398389	4.85658315025389	9.46486177957658e-05	0.00737979469197725	1.33005382754686
Tnk2	1.18590229832222	6.62939471920767	4.86847439926099	9.20798481465028e-05	0.00728719918231423	1.32756938760596
Incenp	-1.35998615543336	6.52573883046103	-4.80946813017417	0.000105560750523575	0.00796196556764647	1.32688847943124
Plekhg3	0.925740703393486	5.52948747228832	4.84593575862305	9.70102510199368e-05	0.00749013782021248	1.32576854705164
Col4a5	2.47649174055779	5.86990460426992	4.87792500321613	9.00887669496156e-05	0.00720164143069957	1.3242620111053
Bgn	5.70175431534743	5.05827425458641	4.79797092892418	0.00010841170726478	0.0080694499003543	1.28802793841969
Loxl4	1.59566514045802	4.95704176598491	4.83656939747362	9.91370588674297e-05	0.00761719110560037	1.28615202650239
Ly6c1	1.88263525016865	-0.319243540383611	4.75442331772463	0.000119935392535666	0.00855961268563867	1.27702112642148
Tes	2.07134329874062	5.11632814080657	4.79432540808946	0.000109331864500271	0.0080694499003543	1.23408950313822
Ppp1r13b	1.43595543685473	3.32477774383846	4.73763129165638	0.000124703324956439	0.00885114003323101	1.2242143300485
Lppr4	2.91595472343387	-1.83151413945597	4.98851655347891	6.97885075840055e-05	0.00617101954212089	1.17595377432932
Tac2	-3.98575195066917	0.146284757233329	-5.11442813985577	5.22451561789575e-05	0.00526833694838228	1.17524772024413
Hist1h4d	-1.32035585680937	8.90048253736956	-4.80915905842124	0.000105636389259904	0.00796196556764647	1.17354506435001
Scel	3.1694287128802	-1.29091875089	4.90307919710389	8.49991567688129e-05	0.00697081167532006	1.16718458244887
Hist1h1a	-1.66014308813115	8.41100663243133	-4.79208050443504	0.000109902424072685	0.0080694499003543	1.16301537232627
Gdnf	3.14846173957093	-1.51250764686579	4.98120008253031	7.09753320761342e-05	0.00623564959145899	1.15968173640575
Pole	-1.35781864505737	7.21967295610677	-4.76385223895071	0.000117339417768656	0.00844203774746495	1.15462199450993
Cyp26b1	2.97524517796712	-0.294815705472503	5.01847237895473	6.51355944269108e-05	0.00602880229549436	1.15144431347073
Stx5a	0.683915073347912	5.64280394462553	4.76488575131336	0.000117058349705482	0.00844203774746495	1.15114793634485
Galnt2	0.947143012736598	7.76599398813153	4.79434900926582	0.000109325882031644	0.0080694499003543	1.13222354387102
Adh7	1.85591016466888	-0.100513088485202	4.68294259968212	0.000141601985867253	0.00967458814056046	1.12898104992963
Adamts5	3.58164669097914	2.53210322766636	4.69090211054528	0.000139005490410179	0.0096499074658435	1.12459975689144
Plekho2	1.28965384710563	5.00410109050534	4.75399308954258	0.000120055219624197	0.00855961268563867	1.10887529034865
Peak1	1.42763262795395	6.31690558426524	4.77589819790101	0.000114105434203451	0.00828468262647807	1.10641930521924
Ogn	3.52670034304544	3.55937673460636	4.68232363681304	0.000141805941913699	0.00967458814056046	1.10578589698311
Tmod2	-1.26976628568343	4.51854906603984	-4.66041686723959	0.000149218922940545	0.0100503706906508	1.0669042460233
Gsx1	-4.37999984699412	-1.51594301495934	-5.52437411584953	2.05591975670925e-05	0.00273454604278941	1.05840299084925
Whsc1	-1.01146585530156	7.11377578088376	-4.73196585626121	0.000126354857766801	0.00892832450327196	1.04390923734716
Klhl32	1.79776141187895	0.650414986010908	4.65033546874854	0.00015276070888121	0.0101592289923185	1.0296847855235
Oaf	2.08077642062239	3.55098492303387	4.63364089903343	0.000158813575312188	0.0104325693135572	1.02067283035857
Bcl7a	-1.41784179083578	4.78696867201223	-4.60715396649492	0.000168917796422778	0.0107374734208021	0.965569265230755
Tsc22d2	1.40800808981298	6.13743900055412	4.70018624215166	0.000136037606950441	0.00948547684057968	0.947099237893603
Srbd1	-0.612215063788076	6.28931176246121	-4.68349962846195	0.000141418691313325	0.00967458814056046	0.94361284917384
Cd248	3.25458885477427	3.49739842017992	4.62922516018937	0.000160454690328221	0.0104513450144654	0.943251745171599
Cav2	1.89704910318457	2.86452468140475	4.62463049764912	0.000162180484663236	0.010477521270407	0.926756420087197
Stard7	-0.797728846980671	6.79438761385131	-4.65304399374563	0.000151800893028712	0.0101379938179682	0.89289933865228
Igf2r	0.935571996279926	8.88099526557481	4.68741978892368	0.000140135495861306	0.00967458814056046	0.887655265558574
Gabarap	0.892800681753402	6.42736311041496	4.67125271536537	0.000145504504689805	0.00987276251082773	0.883004661381474
Dok1	1.36157573035239	4.44542049189277	4.6261541494533	0.000161606120964083	0.010477521270407	0.86025107928395
Poldip2	-0.703143199268732	7.60528200146346	-4.66991428117527	0.000145958202396619	0.00987276251082773	0.860081347075953
Smad7	1.83262461996929	5.62811663025389	4.61278603400287	0.000166716295811165	0.0106402642342706	0.857718484504884
Ctsc	1.1683859455097	4.44355853917196	4.58079708503389	0.000179616815967092	0.011281646679076	0.854324512398986
